序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
115,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,液碱储罐液位 ,q0083p0124,0,7000,0,500,6000,6500,工艺点位,,700,500,,,mm,
116,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机入口氧分,q0083p0125,0,2,0,0.2,1.5,1.8,工艺点位,,200,300,,,%,
117,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机入口氧分透光率,q0083p0126,0,100,0,10,80,90,工艺点位,,100,255,,,TEL,
118,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1002a.氯苯储罐液位 ,q0083p0127,0,4200,0,200,3600,3800,工艺点位,,324,580,,,mm,
119,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1002b氯苯储罐液位 ,q0083p0128,0,4200,0,200,3600,3800,工艺点位,,535,480,,,mm,
120,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1003a低沸物储罐液位 ,q0083p0129,0,4200,0,200,3600,3800,工艺点位,,752,580,,,mm,
121,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1012A待脱高料罐压力,q0083p0130,0,1,0,0.1,0.8,0.9,工艺点位,,947,430,,,Mpa,
122,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1012B二苯精制前罐压力,q0083p0131,0,1,0,0.1,0.8,0.9,工艺点位,,1160,530,,,Mpa,
123,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1002c氯苯储罐液位 ,q0083p0132,0,4200,0,200,3600,3800,工艺点位,,362,500,,,mm,
124,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1002d氯苯储罐液位 ,q0083p0133,0,4200,0,200,3600,3800,工艺点位,,574,500,,,mm,
125,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1003b低沸物储罐液位 ,q0083p0134,0,4200,0,200,3600,3800,工艺点位,,785,500,,,mm,
126,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1011B一苯脱色前罐压力,q0083p0135,0,1,0,0.1,0.8,0.9,工艺点位,,726,530,,,Mpa,
127,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1013A罐压力  苯,q0083p0136,0,1,0,0.1,0.8,0.9,工艺点位,,1370,430,,,Mpa,
128,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1004a粗产品罐液位 ,q0083p0137,0,4200,0,200,3600,3800,工艺点位,,1175,580,,,mm,
129,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1004b粗产品罐液位 ,q0083p0138,0,4200,0,200,3600,3800,工艺点位,,1382,580,,,mm,
